1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244
id,weight,year,sex,age,age_grp,region,gor,mastat,hushop,hhsize,lstage,nkids,parent,ch03,ch45,ch69,ch1015,qual,jbstat,jbrgsc,hoh,jbstathoh,fihhyr2,fihhyr_a,dfihhyr,dfihhyr_a,dfihhyrchg,dfihhyrchg_a,us,ustot,ustot_a,ustot_grp5,ustoty_a,ustotdy_a,ustoty_grp5,ustotdy_grp5,xpus,xpus_a,xpusy_a,xpusy_grp5,usn,usa,usb,usc,usd,use,usg,ush,usi,usj,tenure,tenure_grp2,tenure_grp3,huresp,hsval,hsval_a,reshsfall,mghave,intmg,mg1tot,mg1tot_a,mg1tot_grp5,mg1toty_a,mg1totdy_a,nequity,xpmg,xpmg_a,xpmgy_a,xpmgdy_a,xpmgy_grp5,xpmgdy_grp5,fixmg,fixmg09,fixpmg_a,fnxpmg_a,fixpmg09,fnxpmg09,changepmg,changepmg_a,fxuse1,fxuse2,fxuse3,fxuse4,fxuse5,fxuse6,pmguse1,pmguse2,pmguse3,pmguse4,pmguse5,pmguse6,pmguse7,pmguse8,xphsdf,xphpdf,billscc,xphdr1,xphdr2,xphdr3,xphdr4,xphdr5,xphdr6,xphdr7,xphdr8,xphdr9,xphdr10,xphdr11,xphdr12,xphdr13,xphdr14,xphdr15,xphdd1,xphdd2,xphdd3,xphdd4,xphdd5,xphdd6,xphdd7,xphdd8,xphdd9,xphdd10,xphdd11,xphdd12,xphdd13,xphdd14,hscntcr1,hscntcr2,hscntcr,hscrchg,saveamount,saveamount_a,saving,saving11,savebcs,savebcs1,savebcs2,savebcs3,savebcs4,savebcs5,savebcs6,savebcs7,savebcs8,savebcs9,savebcs10,savebcs11,savebcs12,savebcs13,desave11bcs1,desave11bcs2,desave11bcs3,desave11bcs4,desave11bcs5,desave11bcs6,save11bcs1,save11bcs2,save11bcs3,save11bcs4,save11bcs5,save11bcs6,save11bcs7,save11bcs8,save11bcs9,save11bcs10,save11bcs11,save11bcs12,spend,nvesttot,nvesttot_a,othassets,debtconc,debtconc_act1,debtconc_act2,debtconc_act3,debtconc_act4,debtconc_act5,debtconc_act6,debtconc_act7,chdebtconc,pubsecty,fisc_conc1,fisc_conc2,fisc_conc3,fisc_conc4,fisc_conc5,fisc_conc6,fisc_conc7,fisc_conc8,fisc_conc9,fisc_act1,fisc_act2,fisc_act3,fisc_act4,fisc_act5,fisc_act6,fisc_act7,fisc_act8,fisc_act9,fisc_impact1,fisc_impact2,fisc_impact3,fisc_impact4,fisc_impact5,fisc_impact6,fisc_impact7,fisc_impact8,fisc11_act1,fisc11_act2,fisc11_act3,fisc11_act4,fisc11_act5,fisc11_act6,fisc11_conc1,fisc11_conc2,fisc11_conc3,fisc11_conc4,fisc11_conc5,fisc11_conc6,fisc11_conc7,fisc11_conc8,fisc_likact1,fisc_likact2,fisc_likact3,fisc_likact4,fisc_likact5,fisc_likact6,forebearsec1,forebearsec2,forebearsec3,forebearsec4,forebearsec5,forebearsec6,forebearsec7,forebearsec8,forebeareffsec,brrise,forebearunsec1,forebearunsec2,forebearunsec3,forebearunsec4,forebearunsec5,forebeareffunsec,uncert,uncertch
1798,0.541,2010,female,28,25-34,North West,north west,never married,yes,2,single,0,no,no,no,no,no,a-level or equivalent (=nvq3),in paid employ,C2,yes,in paid employ,"£13,500-£15,499",14500,<£200,100,no change,0,yes,"£1,000-1,499",1250,"£1,000-£4,999",0.086206898,1.041666627,<0.25,>1,£30-£39,35,0.028965518,,1,no,no,yes,no,no,no,no,no,no,local authority rented,renter,renter,not applicable,not applicable,0,,no,not applicable,not applicable,0,0,0,0,,not applicable,0,0,0,0,0,,,,,,,,0,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,yes,somewhat,"keeping up, struggle from time to time",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,,,,yes,no,yes,harder,£100-£149,125,no - not particularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,£500-£999,750,no,somewhat concerned,yes,no,yes,no,no,no,no,increased,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,0.431,2010,male,30,25-34,Wales,wales,marrried or couple,yes,2,pre family,0,no,no,no,no,no,a-level or equivalent (=nvq3),something else,E,no,long-term sick/disab,"£6,500-£7,499",7000,<£200,100,down £50-£100,-75,yes,£500-999,750,"<£1,000",0.107142858,0.625,<0.25,0.5-0.75,£100-£109,110,0.188571423,,2,yes,no,no,no,yes,no,no,no,no,housing association rented,renter,renter,not applicable,not applicable,0,,no,not applicable,not applicable,0,0,0,0,,not applicable,0,0,0,0,0,,,,,,,,0,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,no,somewhat,"keeping up, struggle from time to time",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,,,,no,no,no,harder,none,0,yes - slightly increase,,,no,no,no,no,no,no,no,no,yes,no,no,no,no,,,,,,,,,,,,,,,,,,,,<£500,250,no,somewhat concerned,yes,yes,no,no,no,no,no,decreased,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,1.316,2010,male,41,35-44,South West,south west,marrried or couple,yes,5+,family,2,yes,no,yes,no,yes,a-level or equivalent (=nvq3),in paid employ,C2,no,in paid employ,"£15,500-£17,499",16500,<£200,100,down >£100,-150,yes,£200-499,350,"<£1,000",0.021212121,0.291666657,<0.25,0.25-0.5,don't know,don't know,not applicable,,1,no,no,no,no,no,no,yes,no,no,local authority rented,renter,renter,not applicable,not applicable,0,,no,not applicable,not applicable,0,0,0,0,,not applicable,0,0,0,0,0,,,,,,,,0,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,no,no,"keeping up, struggle from time to time",no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,,,,no,no,no,not applicable,<=25,12.5,no - not particularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<£500,250,no,somewhat concerned,yes,yes,no,no,no,no,no,stayed the same,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,0.523,2010,female,45,45-54,Yorks&Humber,yorks and humbr,never married,yes,1,post family,0,no,no,no,no,no,bachelor degree or equivalent (=nvq4),unemployed,E,yes,unemployed,"£13,500-£15,499",14500,<£200,100,no change,0,yes,<£200,100,"<£1,000",0.006896552,0.083333336,<0.25,<0.25,£10-£19,15,0.012413793,,1,no,no,yes,no,no,no,no,no,no,local authority rented,renter,renter,not applicable,not applicable,0,,no,not applicable,not applicable,0,0,0,0,,not applicable,0,0,0,0,0,,,,,,,,0,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,no,no,"keeping up, struggle from time to time",no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,,,,yes,yes,yes,harder,£25-£49,37.5,no - definitely not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£10,000 - £12,499",11250,no,somewhat concerned,yes,no,no,no,no,no,no,increased,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,0.529,2010,female,28,25-34,Greater London,london,never married,yes,1,single,0,no,no,no,no,no,bachelor degree or equivalent (=nvq4),FT student,C1,yes,FT student,"£4,500-£6,499",5500,<£200,100,don't know,,no,not applicable,not applicable,not applicable,0,0,0,0,not applicable,0,0,,0,no,no,no,no,no,no,no,no,no,private rented,renter,renter,not applicable,not applicable,0,,no,not applicable,not applicable,0,0,0,0,,not applicable,0,0,0,0,0,,,,,,,,0,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,no,not applicable,don't know,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,no,no,no,not applicable,none,0,don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<£500,250,no,,,,,,,,,,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,0.473,2010,male,42,35-44,Yorks&Humber,yorks and humbr,marrried or couple,yes,4,family,2,yes,yes,yes,no,no,masters/phd or equivalent,in paid employ,E,no,in paid employ,"£9,500-£11,499",10500,£200-£299,250,down >£100,-150,yes,"£1,500-1,999",1750,"£1,000-£4,999",0.166666672,0.583333313,<0.25,0.5-0.75,£100-£109,110,0.125714287,,2,no,yes,yes,no,no,no,no,no,no,private rented,renter,renter,not applicable,not applicable,0,,no,not applicable,not applicable,0,0,0,0,,not applicable,0,0,0,0,0,,,,,,,,0,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,yes,somewhat,"keeping up, struggle from time to time",no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,,,,yes,yes,yes,harder,none,0,yes - slightly increase,,,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,<£500,250,no,somewhat concerned,yes,yes,no,no,no,no,no,decreased,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,0.81,2010,female,68,65+,Wales,wales,marrried or couple,no,2,post family,0,no,no,no,no,no,masters/phd or equivalent,self employed,B,yes,self employed,"£30,000-£39,999",35000,don't know,don't know,down >£100,-150,no,not applicable,not applicable,not applicable,0,not applicable,0,not applicable,not applicable,0,0,,0,no,no,no,no,no,no,no,no,no,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,0,not applicable,,not applicable,0,0,not applicable,0,not applicable,,,,,,,,0,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,no,not applicable,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,no,no,no,not applicable,£250-£299,275,no - definitely not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,">=£150,000",175000,no,,,,,,,,,,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,0.577,2010,female,60,55-64,South East,eastern,widowed/divorced/separated,yes,1,post family,0,no,no,no,no,no,a-level or equivalent (=nvq3),retired,C2,yes,retired,"£17,500-£24,999",21250,<£200,100,up £50-£100,75,yes,£500-999,750,"<£1,000",0.035294119,0.625,<0.25,0.5-0.75,£80-£89,85,0.048,,1,no,no,yes,no,no,no,no,no,no,private rented,renter,renter,not applicable,not applicable,0,,no,not applicable,not applicable,0,0,0,0,,not applicable,0,0,0,0,0,,,,,,,,0,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,no,no,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,no,no,no,the same,£50-£99,75,no - not particularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£2,000 - £2,999",2500,yes,not at all concerned,no,yes,no,no,no,no,no,decreased,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,0.394,2010,female,64,55-64,E Midlands,west midlands,marrried or couple,yes,2,post family,0,no,no,no,no,no,other,retired,C1,no,in paid employ,"£15,500-£17,499",16500,£700-£799,750,up £50-£100,75,no,not applicable,not applicable,not applicable,0,0,0,0,not applicable,0,0,,0,no,no,no,no,no,no,no,no,no,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,0,0,,not applicable,0,0,0,0,0,,,,,,,,0,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,yes,not applicable,"keeping up, struggle from time to time",no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,,,,yes,no,yes,harder,150-£199,175,no - not particularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£2,000 - £2,999",2500,yes,,,,,,,,,,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
